標題：出生相關指標
更新日期：2021.09.11
下載日期：2022.08.21
資料來源：國家發展委員會，中華民國人口推估（2020年至2070年）
來源網址：https://pop-proj.ndc.gov.tw/dataSearch2.aspx?r=1&uid=2104&pid=59

推估情境,項目,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,
高推估,出生人數(人),422319,422740,426325,427212,419797,409620,418327,376806,396886,393455,396479,382797,368067,369022,369671,369349,425125,397373,410783,424034,413881,414069,405263,383439,371008,346208,309230,314024,342031,315299,335618,321932,321632,325613,322938,329581,325545,326002,271450,283661,305312,260354,247530,227070,216419,205854,204459,204414,198733,191310,166886,196627,229481,199113,210383,213598,208440,193844,181601,177767,165249,153820,149177,157546,174796,158475,166493,164702,165437,166286,167862,169790,170797,170705,154962,162222,177664,158826,164086,159432,156463,153418,151309,149382,148168,146894,144908,142585,140415,139114,137801,136015,133686,131690,129970,128470,127660,126835,126226,125032,124205,124528,124628,124536,123940,123267,122906,122299,121517,120736,119911,
中推估,出生人數(人),422319,422740,426325,427212,419797,409620,418327,376806,396886,393455,396479,382797,368067,369022,369671,369349,425125,397373,410783,424034,413881,414069,405263,383439,371008,346208,309230,314024,342031,315299,335618,321932,321632,325613,322938,329581,325545,326002,271450,283661,305312,260354,247530,227070,216419,205854,204459,204414,198733,191310,166886,196627,229481,199113,210383,213598,208440,193844,181601,177767,165249,153820,145828,152650,167616,150329,156173,152841,151898,150703,149951,148557,146694,144372,129405,133709,144743,128139,131294,126732,124133,121545,119998,118663,117804,117042,115673,113678,111666,110385,108803,106594,104029,101763,99636,97781,96568,95241,93989,92208,90697,90008,89130,88144,86770,85371,84315,83150,81903,80769,79687,
低推估,出生人數(人),422319,422740,426325,427212,419797,409620,418327,376806,396886,393455,396479,382797,368067,369022,369671,369349,425125,397373,410783,424034,413881,414069,405263,383439,371008,346208,309230,314024,342031,315299,335618,321932,321632,325613,322938,329581,325545,326002,271450,283661,305312,260354,247530,227070,216419,205854,204459,204414,198733,191310,166886,196627,229481,199113,210383,213598,208440,193844,181601,177767,165249,153820,140125,144663,156619,138317,141418,135775,132162,128237,124648,121065,117598,114222,101323,103859,111665,98254,100136,96228,93916,91630,90158,88901,88024,87231,86027,84337,82593,81336,79803,77747,75369,73147,70961,68939,67346,65618,63930,61880,60027,58758,57404,56043,54473,52980,51803,50618,49445,48381,47403,

註：
<p>&bull;2022年（含）以後為推估值。</p>

<p>&bull;*： 1973年（含）以前資料不包含福建省金門縣及連江。</p>
